chinese,pinyin
这件事使我改变了对她的印象。,Zhè jiàn shì shǐ wǒ gǎibiànle duì tā de yìnxiàng.
那些美好的回忆让我永远难忘。,Nàxiē měihǎo de huíyì ràng wǒ yǒngyuǎn nánwàng.
现在堵车，打车不如坐地铁快。,"Xiànzài dǔchē, dǎ chē bùrú zuò dìtiě kuài."
我觉得玩游戏不如看小说有意思。,Wǒ juéde wán yóuxì bùrú kàn xiǎoshuō yǒuyìsi.
跟线下购物相比，上网买东西更符合年轻人的习惯。,"Gēn xiànxià gòuwù xiāngbǐ, shàngwǎng mǎi dōngxi gèng fúhé niánqīngrén de xíguàn."
跟其他公司相比，我们的产品不但便宜，而且服务也好。,"Gēn qítā gōngsī xiāngbǐ, wǒmen de chǎnpǐn búdàn piányi, érqiě fúwù yě hǎo."
没有学生不喜欢放假。,Méiyǒu xuésheng bù xǐhuan fàngjià.
这么重要的内容老师不可能没讲过。,Zhème zhòngyào de nèiróng lǎoshī bù kěnéng méi jiǎngguo.
他不是不想帮忙，而是确实没时间。,"Tā bú shì bù xiǎng bāngmáng, érshì quèshí méi shíjiān."
我不是不爱喝咖啡，而是担心晚上睡不着。,"Wǒ bú shì bú ài hē kāfēi, érshì dānxīn wǎnshang shuì bu zháo."
这个牌子的奶茶既好喝，又健康。,"Zhège páizi de nǎichá jì hǎohē, yòu jiànkāng."
我每天骑自行车上学，这样既能锻炼身体，也对环境保护有帮助。,"Wǒ měitiān qí zìxíngchē shàng xué, zhèyàng jì néng duànliàn shēntǐ, yě duì huánjìng bǎohù yǒu bāngzhù."
参加文化活动一方面可以增长知识，另一方面可以认识新的朋友。,"Cānjiā wénhuà huódòng yì fāngmiàn kěyǐ zēngzhǎng zhīshi, lìng yì fāngmiàn kěyǐ rènshi xīn de péngyou."
想要解决大城市堵车的问题，一方面要提高公共交通服务质量，另一方面要让人们养成绿色出行的习惯。,"Xiǎng yào jiějué dà chéngshì dǔchē de wèntí, yì fāngmiàn yào tígāo gōnggòng jiāotōng fúwù zhìliàng, lìng yì fāngmiàn yào ràng rénmen yǎngchéng lǜsè chūxíng de xíguàn."
选择职业的时候，应该首先了解自己的性格、能力，其次再考虑工资、收入等方面的问题。,"Xuǎnzé zhíyè de shíhou, yīnggāi shǒuxiān liǎojiě zìjǐ de xìnggé, nénglì, qícì zài kǎolǜ gōngzī, shōurù děng fāngmiàn de wèntí."
我学汉语首先是因为对中国文化感兴趣，其次是为了获得更多的工作机会。,"Wǒ xué Hànyǔ shǒuxiān shì yīnwèi duì Zhōngguó wénhuà gǎn xìngqù, qícì shì wèile huòdé gèng duō de gōngzuò jīhuì."
首先要找到一个合适的目标，然后坚持学习，这样才能学好中文。,"Shǒuxiān yào zhǎodào yí ge héshì de mùbiāo, ránhòu jiānchí xuéxí, zhèyàng cái néng xuéhǎo Zhōngwén."
校长首先对同学们表示欢迎，然后介绍了学校的一些基本情况。,"Xiàozhǎng shǒuxiān duì tóngxuémen biǎoshì huānyíng, ránhòu jièshàole xuéxiào de yìxiē jīběn qíngkuàng."
人们喜欢一边喝咖啡，一边聊天儿，于是城市里的咖啡馆越来越多。,"Rénmen xǐhuan yìbiān hē kāfēi, yìbiān liáotiānr, yúshì chéngshì lǐ de kāfēiguǎn yuèláiyuè duō."
大家不断地鼓励我，于是我决定报名参加这个比赛。,"Dàjiā búduàn de gǔlì wǒ, yúshì wǒ juédìng bàomíng cānjiā zhège bǐsài."
为了锻炼身体，我一有空就去健身房，甚至专门请了一个健身教练。,"Wèile duànliàn shēntǐ, wǒ yì yǒu kòng jiù qù jiànshēnfáng, shènzhì zhuānmén qǐngle yí ge jiànshēn jiàoliàn."
收到大学的入学通知，我高兴极了，甚至觉得自己是世界上最幸福的人。,"Shōudào dàxué de rùxué tōngzhī, wǒ gāoxìng jíle, shènzhì juéde zìjǐ shì shìjiè shàng zuì xìngfú de rén."
我们学习生词，不仅要理解词语的意思，而且应该知道怎么使用。,"Wǒmen xuéxí shēngcí, bùjǐn yào lǐjiě cíyǔ de yìsi, érqiě yīnggāi zhīdao zěnme shǐyòng."
这里不光有美丽的风景，还有各种少见的动物、植物。,"Zhèlǐ bùguāng yǒu měilì de fēngjǐng, hái yǒu gèzhǒng shǎojiàn de dòngwù, zhíwù."
经过四年的努力，他终于顺利毕业，并且有了一家自己的公司。,"Jīngguò sì nián de nǔlì, tā zhōngyú shùnlì bìyè, bìngqiě yǒule yì jiā zìjǐ de gōngsī."
随着经济的发展，人们的生活水平提高了，并且对健康和生活质量的要求也越来越高。,"Suízhe jīngjì de fāzhǎn, rénmen de shēnghuó shuǐpíng tígāo le, bìngqiě duì jiànkāng hé shēnghuó zhìliàng de yāoqiú yě yuèláiyuè gāo."
我有时候连老师说的话也听不懂，听广播就更难了。,"Wǒ yǒu shíhou lián lǎoshī shuō de huà yě tīng bu dǒng, tīng guǎngbō jiù gèng nán le."
受伤以后，他连走路都困难，踢足球更不可能了。,"Shòushāng yǐhòu, tā lián zǒulù dōu kùnnan, tī zúqiú gèng bù kěnéng le."
毕业以后，同学们不是留在中国继续学习，就是回国工作。,"Bìyè yǐhòu, tóngxuémen bú shì liú zài Zhōngguó jìxù xuéxí, jiùshì huí guó gōngzuò."
周末他不是在游泳馆游泳，就是在篮球场打篮球。,"Zhōumò tā bú shì zài yóuyǒngguǎn yóuyǒng, jiùshì zài lánqiúchǎng dǎ lánqiú."
尽管收入不高，但是我对这份工作很满意。,"Jǐnguǎn shōurù bù gāo, dànshì wǒ duì zhè fèn gōngzuò hěn mǎnyì."
尽管已经很晚了，可是她仍然在学习。,"Jǐnguǎn yǐjīng hěn wǎn le, kěshì tā réngrán zài xuéxí."
我知道那部电影很有意思，然而太忙了，一直没时间看。,"Wǒ zhīdao nà bù diànyǐng hěn yǒuyìsi, rán'ér tài máng le, yìzhí méi shíjiān kàn."
她以为能轻松通过考试，然而成绩却不太好。,"Tā yǐwéi néng qīngsōng tōngguò kǎoshì, rán'ér chéngjì què bú tài hǎo."
我很想参加你的生日晚会，不过我明天有考试，得好好复习。,"Wǒ hěn xiǎng cānjiā nǐ de shēngrì wǎnhuì, búguò wǒ míngtiān yǒu kǎoshì, děi hǎohǎo fùxí."
他只学了三个月中文，不过已经说得不错了。,"Tā zhǐ xuéle sān ge yuè Zhōngwén, búguò yǐjīng shuō de búcuò le."
这些衣服便宜是便宜，就是感觉质量不太好。,"Zhèxiē yīfu piányi shì piányi, jiùshì gǎnjué zhìliàng bú tài hǎo."
小张这个人聪明是聪明，不过有时候比较懒。,"Xiǎo Zhāng zhège rén cōngming shì cōngming, búguò yǒu shíhou bǐjiào lǎn."
你下了飞机记得给妈妈打个电话，否则她会一直担心你。,"Nǐ xiàle fēijī jìde gěi māma dǎ ge diànhuà, fǒuzé tā huì yìzhí dānxīn nǐ."
课后一定要经常复习，否则很快就会忘记。,"Kè hòu yídìng yào jīngcháng fùxí, fǒuzé hěn kuài jiù huì wàngjì."
你要是想取得成功，就必须坚持到底。,"Nǐ yàoshi xiǎng qǔdé chénggōng, jiù bìxū jiānchí dàodǐ."
要是人人都能节约用水，地球的环境就能得到更好的保护。,"Yàoshi rénrén dōu néng jiéyuē yòngshuǐ, dìqiú de huánjìng jiù néng dédào gèng hǎo de bǎohù."
要是你打算假期去旅游，就提前上网订票，否则到时候就买不到了。,"Yàoshi nǐ dǎsuàn jiàqī qù lǚyóu, jiù tíqián shàngwǎng dìng piào, fǒuzé dào shíhou jiù mǎi bu dào le."
要是你不常穿，最好就不要买，否则买了也是浪费。,"Yàoshi nǐ bù cháng chuān, zuìhǎo jiù bú yào mǎi, fǒuzé mǎile yě shì làngfèi."
不管在什么地方，说话、办事都要有礼貌。,"Bùguǎn zài shénme dìfang, shuōhuà, bànshì dōu yào yǒu lǐmào."
不管别人怎么说，我也不会改变主意。,"Bùguǎn biéren zěnme shuō, wǒ yě bú huì gǎibiàn zhǔyi."
无论在多么紧张的情况下，他都表现得非常冷静。,"Wúlùn zài duōme jǐnzhāng de qíngkuàng xià, tā dōu biǎoxiàn de fēicháng lěngjìng."
无论遇到多大的困难，我们也不应该随便放弃。,"Wúlùn yùdào duō dà de kùnnan, wǒmen yě bù yīnggāi suíbiàn fàngqì."
既然你这么喜欢小孩儿，毕业以后就当老师吧。,"Jìrán nǐ zhème xǐhuan xiǎoháir, bìyè yǐhòu jiù dāng lǎoshī ba."
既然来了，就进屋喝杯茶吧。,"Jìrán lái le, jiù jìn wū hē bēi chá ba."
由于您没带护照，因此不能办理银行卡。,"Yóuyú nín méi dài hùzhào, yīncǐ bù néng bànlǐ yínhángkǎ."
我对京剧很感兴趣，因此报名参加了这次活动。,"Wǒ duì jīngjù hěn gǎn xìngqù, yīncǐ bàomíng cānjiāle zhè cì huódòng."
我每天都给父母打电话，好让他们放心。,"Wǒ měitiān dōu gěi fùmǔ dǎ diànhuà, hǎo ràng tāmen fàngxīn."
我们应该多鼓励他，好让他有信心。,"Wǒmen yīnggāi duō gǔlì tā, hǎo ràng tā yǒu xìnxīn."
你即使干到明天早上，恐怕也干不完。,"Nǐ jíshǐ gàn dào míngtiān zǎoshang, kǒngpà yě gànbuwán."
即使工作再忙，也要常回家看看父母。,"Jíshǐ gōngzuò zài máng, yě yào cháng huí jiā kànkan fùmǔ."
我今天晚上就是不睡觉，也必须解决这个问题。,"Wǒ jīntiān wǎnshang jiùshì bú shuìjiào, yě bìxū jiějué zhège wèntí."
你就是不同意，我也不会改变自己的决定。,"Nǐ jiùshì bù tóngyì, wǒ yě bú huì gǎibiàn zìjǐ de juédìng."
你着急你先走吧。,Nǐ zháojí nǐ xiān zǒu ba.
站得高看得远。,Zhàn de gāo kàn de yuǎn.
他同意我不同意。,Tā tóngyì wǒ bù tóngyì.
今晚我不睡觉也要把作业写完。,Jīnwǎn wǒ bú shuìjiào yě yào bǎ zuòyè xiěwán.
你不喜欢做也得做。,Nǐ bù xǐhuan zuò yě děi zuò.
我们的宿舍楼有三百来间房。,Wǒmen de sùshèlóu yǒu sānbǎi lái jiān fáng.
书架上放着一百来本书。,Shūjià shàng fàngzhe yìbǎi lái běn shū.
这条大鱼估计有十来斤重。,Zhè tiáo dà yú gūjì yǒu shí lái jīn zhòng.
客人大约下午两点到公司参观。,Kèrén dàyuē xiàwǔ liǎng diǎn dào gōngsī cānguān.
我的中文老师四十岁左右。,Wǒ de Zhōngwén lǎoshī sìshí suì zuǒyòu.
春节前后，很多商场有打折活动。,"Chūn Jié qiánhòu, hěn duō shāngchǎng yǒu dǎzhé huódòng."
零点五、三分之一、百分之二十、两倍,"Líng diǎn wǔ, sān fēn zhī yī, bǎi fēn zhī èrshí, liǎng bèi."
老师听写了二十个汉字，每个汉字零点五分，一共十分。,"Lǎoshī tīngxiěle èrshí ge Hànzì, měi ge Hànzì líng diǎn wǔ fēn, yígòng shí fēn."
我们班有三分之一的同学没去过长城。,Wǒmen bān yǒu sān fēn zhī yī de tóngxué méi qùguo Chángchéng.
跟去年相比，今年游客的数量减少了百分之二十。,"Gēn qùnián xiāngbǐ, jīnnián yóukè de shùliàng jiǎnshǎole bǎi fēn zhī èrshí."
我的收入比去年提高了两倍。,Wǒ de shōurù bǐ qùnián tígāole liǎng bèi.
那块石头上刻着一些汉字。,Nà kuài shítou shàng kèzhe yìxiē Hànzì.
那本书里头是不是有一封信？,Nà běn shū lǐtou shì bu shì yǒu yì fēng xìn?
在日常交流中，我们应该尊重彼此。,"Zài rìcháng jiāoliú zhōng, wǒmen yīnggāi zūnzhòng bǐcǐ."
他们已经认识很久了，对彼此的习惯非常了解。,"Tāmen yǐjīng rènshi hěn jiǔ le, duì bǐcǐ de xíguàn fēicháng liǎojiě."
这里的夏天异常炎热，年年如此。,"Zhèlǐ de xiàtiān yìcháng yánrè, niánnián rúcǐ."
很多人都没有想到乡村的变化如此巨大。,Hěn duō rén dōu méiyǒu xiǎngdào xiāngcūn de biànhuà rúcǐ jùdà.
本规定自明日起正式实施。,Běn guīdìng zì míngrì qǐ zhèngshì shíshī.
本次列车开往北京西站。,Běn cì lièchē kāiwǎng Běijīng Xī Zhàn.
这册历史书讲述了古代中国的发展过程。,Zhè cè lìshǐ shū jiǎngshùle gǔdài Zhōngguó de fāzhǎn guòchéng.
第一次见面时他送给了我一朵玫瑰花。,Dì yī cì jiànmiàn shí tā sònggěile wǒ yì duǒ méiguīhuā.
这届会议讨论了许多重要的话题。,Zhè jiè huìyì tǎolùnle xǔduō zhòngyào de huàtí.
城市夜晚的天空中几乎看不到几颗星星。,Chéngshì yèwǎn de tiānkōng zhōng jīhū kànbudào jǐ kē xīngxing.
那匹马跑得特别快，赢得了这次比赛。,"Nà pǐ mǎ pǎo de tèbié kuài, yíngdéle zhè cì bǐsài."
她在表格的最后一行写上了自己的名字。,Tā zài biǎogé de zuìhòu yì háng xiěshàngle zìjǐ de míngzi.
那架飞机在空中飞行了很久，最终安全降落。,"Nà jià fēijī zài kōngzhōng fēixíngle hěn jiǔ, zuìzhōng ānquán jiàngluò."
一群可爱的孩子正在舞台上表演节目。,Yì qún kě'ài de háizi zhèngzài wǔtái shàng biǎoyǎn jiémù.
这支队伍非常优秀，连续几年都获得了冠军。,"Zhè zhī duìwu fēicháng yōuxiù, liánxù jǐ nián dōu huòdéle guànjūn."
他一不小心把一根筷子掉在了地上。,Tā yí bù xiǎoxīn bǎ yì gēn kuàizi diàozàile dì shàng.
王经理正在培训这批新员工。,Wáng jīnglǐ zhèngzài péixùn zhè pī xīn yuángōng.
为了表示对朋友的欢迎，他特意买了一束花。,"Wèile biǎoshì duì péngyou de huānyíng, tā tèyì mǎile yí shù huā."
选来选去还是这副手套戴着最舒服。,Xuǎnláixuǎnqù háishi zhè fù shǒutào dàizhe zuì shūfu.
别看书了，打开电视，看两集电视剧吧。,"Bié kàn shū le, dǎkāi diànshì, kàn liǎng jí diànshìjù ba."
地球绕太阳一周需要一年。,Dìqiú rào tàiyáng yì zhōu xūyào yì nián.
新娘看了一眼新郎，害羞得低下了头。,"Xīnniáng kànle yì yǎn xīnláng, hàixiū de dīxiàle tóu."
他在面试时过于紧张，连话都说不清楚了。,"Tā zài miànshì shí guòyú jǐnzhāng, lián huà dōu shuōbuqīngchu le."
过于追求完美反而会让人总是对现状不满意。,Guòyú zhuīqiú wánměi fǎn'ér huì ràng rén zǒngshì duì xiànzhuàng bù mǎnyì.
这次考试的题目相当难，很多同学都没有及格。,"Zhè cì kǎoshì de tímù xiāngdāng nán, hěn duō tóngxué dōu méiyǒu jígé."
他的中文水平相当不错，可以和中国人流利对话。,"Tā de Zhōngwén shuǐpíng xiāngdāng búcuò, kěyǐ hé Zhōngguórén liúlì duìhuà."
如何才能在短期内较快地提高中文水平？,Rúhé cái néng zài duǎnqī nèi jiào kuài de tígāo Zhōngwén shuǐpíng?
年轻人学习新事物的能力较强，能够很快适应新的环境。,"Niánqīngrén xuéxí xīn shìwù de nénglì jiào qiáng, nénggòu hěn kuài shìyìng xīn de huánjìng."
那家公司今年推出的新产品可受欢迎了。,Nà jiā gōngsī jīnnián tuīchū de xīn chǎnpǐn kě shòu huānyíng le.
这部电影拍得可精彩了，你千万不能错过！,"Zhè bù diànyǐng pāi de kě jīngcǎi le, nǐ qiānwàn bù néng cuòguò!"
这家餐厅的服务态度格外热情，常常需要提前预约。,"Zhè jiā cāntīng de fúwù tàidù géwài rèqíng, chángcháng xūyào tíqián yùyuē."
国庆假期的景区格外热闹，到处都是外地来的游客。,"Guóqìng jiàqī de jǐngqū géwài rènao, dàochù dōu shì wàidì lái de yóukè."
那天的天气极其恶劣，我们不得不取消旅行计划。,"Nà tiān de tiānqì jíqí èliè, wǒmen bùdébù qǔxiāo lǚxíng jìhuà."
这次旅行给我留下了极其深刻的印象，尤其是当地的美食和历史。,"Zhè cì lǚxíng gěi wǒ liúxiàle jíqí shēnkè de yìnxiàng, yóuqí shì dāngdì de měishí hé lìshǐ."
父母要时刻关心孩子的心理健康。,Fùmǔ yào shíkè guānxīn háizi de xīnlǐ jiànkāng.
他提醒我旅行时一定要时刻注意自己的护照和钱包。,Tā tíxǐng wǒ lǚxíng shí yídìng yào shíkè zhùyì zìjǐ de hùzhào hé qiánbāo.
她曾经当过导游，在设计旅行线路方面很有经验。,"Tā céngjīng dāngguo dǎoyóu, zài shèjì lǚxíng xiànlù fāngmiàn hěn yǒu jīngyàn."
王校长去年曾经来我们学校访问过。,Wáng xiàozhǎng qùnián céngjīng lái wǒmen xuéxiào fǎngwènguo.
为了迎接客人的到来，他一下班就立刻回家准备晚餐。,"Wèile yíngjiē kèrén de dàolái, tā yí xià bān jiù lìkè huí jiā zhǔnbèi wǎncān."
张教授刚说完，学生们就立刻认真地写起来。,"Zhāng jiàoshòu gāng shuōwán, xuéshengmen jiù lìkè rènzhēn de xiěqǐlai."
妈妈连忙检查摔倒的孩子有没有受伤。,Māma liánmáng jiǎnchá shuāidǎo de háizi yǒu méiyǒu shòushāng.
他连忙向交警解释自己并非故意违反交通规则。,Tā liánmáng xiàng jiāojǐng jiěshì zìjǐ bìngfēi gùyì wéifǎn jiāotōng guīzé.
最近一年，这套教材的销量始终保持增长。,"Zuìjìn yì nián, zhè tào jiàocái de xiāoliàng shǐzhōng bǎochí zēngzhǎng."
无论如何，亲朋好友始终是你的依靠。,"Wúlùn rúhé, qīnpéng hǎoyǒu shǐzhōng shì nǐ de yīkào."
