chinese,english
我们减少使用塑料袋，是为了保护环境而改变习惯。,We are reducing our use of plastic bags as a way of changing our habits to protect the environment.
虽然日子过得很难，但也不能过一天是一天。,"Although life is tough, we can't just take each day as it comes."
要学的内容实在太多了，学一点儿是一点儿吧。,There's simply so much to learn; I'll just take it bit by bit.
想好了就直接做，有什么好害怕的。,"Once you've made up your mind, just go for it – what's there to be afraid of?"
只是一次考试没考好，没有什么好难过的。,It's just one exam you didn't do well in; there's no need to feel down about it.
他是他，我是我，我们的意见不一样。,"He is him, I am me; we have different opinions."
工作是工作，家庭是家庭，不要用工作的方式解决家里的问题。,"Work is work, and family is family; don't use work methods to solve problems at home."
这场会议很重要，你去也得去，不去也得去。,"This meeting is very important; you have to go, whether you want to or not."
结果改变不了了，你接受也得接受，不接受也得接受。,The outcome can't be changed; you'll have to accept it whether you like it or not.
别浪费时间了，有什么想法说就是了。,"Don't waste any time – if you've got any ideas, just say so."
你不要生气，下次別答应他就是了。,Don't get angry; just don't agree to it next time.
还国际公司呢，服务质量这么差。,"And to call themselves an international company, with service of such poor quality."
还中文专业的呢，中文说得还不如我。,And to think he's a Chinese language student – his Chinese isn't even as good as mine.
我不饿，你吃你的吧，不用等我。,I'm not hungry; you go ahead and eat—don't wait for me.
没有什么重要的事，你忙你的吧。,It's nothing important; just carry on with what you're doing.
老师让你多练你就多练，肯定没坏处。,"If your teacher tells you to practise more, then practise more—it certainly can't do any harm."
叫你拿着你就拿着，不用跟我客气。,"If I tell you to take it, just take it – no need to stand on ceremony."
他受伤了，我说什么也得去看看他。,"He's been injured, so I simply have to go and see him."
快要迟到了，说什么也得走了。,"I'm about to be late, so I've got to go, no matter what."
这么有用的技术，我怎么（着）也得学。,A technique this useful—I simply must learn it.
买就买（点儿）吧，也不太贵。,"Let's just buy a few, then—it's not that expensive."
慢就慢（点儿）吧，能做完就行。,"It'll take a bit longer, but as long as it gets done, that's fine."
我们讨论是讨论了，可是大家各有各的想法。,"We did have a discussion, but everyone had their own views."
留学生活累是累，不过我们学到了很多知识。,"Life as an international student is certainly tiring, but we've learnt a great deal."
面试的时候，我心里紧张死了。,I was absolutely terrified during the interview.
不知道从哪儿来的声音，吵死了。,"I don't know where that noise is coming from, but it's absolutely deafening."
吃完冰激凌，我突然牙疼得厉害。,"After eating the ice cream, I suddenly had a terrible toothache."
我们这儿有个同学病得很厉害，请你们赶快来看看。,One of our classmates here is very ill; please come and have a look at them straight away.
你点了这么多菜，咱们两个人吃得了吗？,You've ordered so much food – will there be enough for the two of us?
我帮你一起做，下班之前肯定完成得了。,I'll help you with it; we'll definitely get it done before the end of the working day.
行李太重了，我一个人拿不了。,The luggage is too heavy; I can't carry it on my own.
明天的比赛他参加不了。,He won't be able to take part in tomorrow's match.
作为学生，难道学习不是最重要的事情吗？,"As a student, isn't studying the most important thing?"
工作出了问题，你难道不应该负责吗？,"If something goes wrong at work, shouldn't you take responsibility?"
这么有名的作家，谁不认识他？,He's such a famous writer – who doesn't know him?
他去哪儿从来不说，我怎么会知道呢？,"He never tells me where he's going, so how am I supposed to know?"
